id,State_Name,Mean,Median,Stdev,sum_w
60217139,California,48762,40460,42410,557.8087064
60217149,California,87607,300000,57683,103.726454
60217159,California,69044,56068,55003,268.9863697
60217169,California,91949,300000,63391,253.5557357
60217179,California,55420,45831,36998,241.2249701
60217189,California,61833,46147,62421,254.0238747
6021719,California,51903,37959,46674,1620.833896
60217199,California,47746,300000,33411,390.3593252
60217209,California,114121,98711,83920,271.5875739
60217219,California,164396,206024,92189,112.9917153
60217229,California,145952,174500,92294,82.39216927
60217239,California,109016,300000,58288,99.02806248
60217249,California,112648,300000,72656,212.7878867
60217259,California,132066,300000,75480,150.0571572
60217269,California,152192,149375,88552,85.82371233
60217279,California,187441,196431,64454,26.9283546
60217289,California,137563,120697,70496,86.61944198
6021729,California,31102,22779,25831,1260.665626
60217299,California,95326,93272,68603,687.9274464
60217309,California,100217,80845,70298,315.9467011
60217319,California,73962,56894,50994,395.8203667
60217329,California,86511,81448,58330,93.56061827
60217339,California,62252,61029,54817,327.6799011
60217349,California,114126,300000,62960,71.4621798
60217359,California,107565,93515,72383,128.4600252
60217369,California,76906,70683,45341,377.0055504
60217379,California,105079,300000,66744,97.36189449
60217389,California,125786,300000,66719,127.1229427
6021739,California,38931,23146,38362,1360.264238
60217399,California,162540,300000,44333,38.16020915
60217409,California,77189,72618,57161,232.1564329
60217419,California,62426,45755,52458,298.0880648
60217429,California,150223,157006,81326,58.49228472
60217439,California,122003,105522,80507,414.4358662
60217449,California,106022,91217,81498,436.5064851
60217459,California,162857,202358,92382,104.3253606
60217469,California,40509,19139,46481,739.687898
60217479,California,78427,62610,66805,492.2678226
60217489,California,167779,208338,93754,100.2568851
6021749,California,48557,39701,36586,1795.47789
60217499,California,91484,71280,72989,212.8508757
60217509,California,96430,89224,68380,390.4948192
60217519,California,157088,156861,84443,87.75912313
60217529,California,143409,300000,87294,103.1236871
60217539,California,134800,300000,78845,48.82856222
60217549,California,73501,55855,64082,246.7856674
60217559,California,70151,46977,59443,287.924493
60217569,California,107038,300000,78019,145.058957
60217579,California,119227,97567,77598,141.5867401
60217589,California,101605,75609,83073,435.2476766
6021759,California,96811,300000,80050,567.1766082
60217599,California,146052,300000,80203,42.49627588
60217609,California,126258,125711,78057,126.9252813
60217619,California,74270,58236,58916,194.9905443
60217629,California,142979,150239,83019,148.9839086
60217639,California,131864,300000,62264,112.1876795
60217649,California,151185,300000,80376,73.16126517
60217659,California,110295,97315,84170,315.044069
60217669,California,140704,300000,58244,78.62404412
60217679,California,182475,300000,67315,60.62526073
60217689,California,136693,300000,73979,149.0531312
6021769,California,31499,23776,28323,1041.738555
60217699,California,53182,38578,53018,242.949616
60217709,California,46767,42035,34593,472.9342476
60217719,California,57031,39285,52987,513.4340749
60217729,California,65709,56932,51199,261.8161855
60217739,California,32939,36838,22702,611.4790584
60217749,California,24383,15692,23421,1064.428805
60217759,California,68162,57343,43746,131.0249124
60217769,California,68751,53179,60108,338.8438277
60217779,California,60789,50695,47401,273.3835728
60217789,California,76484,62035,54730,446.0124315
6021779,California,45561,34118,46432,754.0723778
60217799,California,69024,51705,50741,611.5145609
60217809,California,45383,35898,37879,330.9539579
60217819,California,40766,29897,30989,244.3583777
60217829,California,58383,52276,46637,219.0169598
60217839,California,55418,46756,41584,783.9311973
60217849,California,47848,38750,38304,375.6496987
60217859,California,88448,300000,44857,193.3846532
60217869,California,91975,58769,86857,42.86279905
60217879,California,84492,300000,48574,305.2533039
60217889,California,112663,109241,64128,651.3104497
6021789,California,38677,31881,31803,1042.76909
60217899,California,144360,300000,64211,197.9128621
602179,California,110268,300000,62532,454.6681035
60217909,California,65773,46604,43011,141.7954138
60217919,California,79203,73376,46596,380.7722914
60217929,California,132840,139164,59363,74.92474705
60217939,California,110430,100166,62717,171.7180824
60217949,California,111806,112094,50768,145.2508263
60217959,California,120161,300000,65393,84.26038108
60217969,California,90530,300000,64028,293.5884168
60217979,California,74588,300000,48818,201.9251327
60217989,California,58806,44484,48949,359.022734
6021799,California,92813,70811,71293,704.4192474
60217999,California,87240,83896,52548,40.19572939
60218009,California,39881,13299,58904,46.99865599
60218019,California,141967,121950,91261,25.66490131
60218029,California,48669,25394,59364,232.5870814
60218039,California,80540,300000,46079,111.3272112
60218049,California,51270,41383,41838,268.0503535
60218059,California,35895,29013,33545,825.2928349
60218069,California,61123,55928,38523,225.5149782
60218079,California,78925,69478,55453,322.5503064
60218089,California,51758,36952,49563,320.0188188
6021809,California,109833,90076,77315,915.6340623
60218099,California,30354,32858,15376,174.9939999
60218109,California,136093,131518,76114,302.3084538
60218119,California,85129,66037,66433,341.1498624
60218129,California,105244,103640,63777,233.9198494
60218139,California,122719,111560,86565,535.6018967
60218149,California,160659,152103,79141,114.3857496
60218159,California,71791,62928,58934,276.9137025
60218169,California,118598,106675,88584,165.3563123
60218179,California,43879,29962,43968,935.5110419
60218189,California,115908,95545,77809,300.5822706
6021819,California,57785,45769,50051,792.841659
60218199,California,132307,300000,79451,120.4275967
60218209,California,82393,60197,68850,417.7845711
60218219,California,153399,300000,79413,133.0563717
60218229,California,158404,300000,88766,93.5272525
60218239,California,127320,109751,78565,223.4458627
60218249,California,103111,76513,82645,460.7739177
60218259,California,112929,96504,74982,103.958349
60218269,California,119885,122444,73952,351.7449799
60218279,California,69773,47044,59232,258.6916034
60218289,California,69566,54789,64330,327.8711329
6021829,California,54840,42267,44969,610.5762182
60218299,California,80304,67869,57980,213.6234624
60218309,California,63791,300000,53266,183.5627091
60218319,California,68960,300000,38498,249.5877099
60218329,California,32119,30407,21041,399.9583748
60218339,California,67929,300000,47039,80.43084276
60218349,California,52057,39048,48211,379.0202795
60218359,California,78156,68327,50287,175.6577516
60218369,California,34571,24098,28978,532.4824184
60218379,California,0,0,0,0
60218389,California,45169,300000,30657,169.5948836
6021839,California,53554,37361,53666,1426.538882
60218399,California,90493,300000,58588,162.2240635
60218409,California,50484,43488,37979,596.6779177
60218419,California,18391,16452,14350,361.483161
60218429,California,72671,57285,51930,421.3143026
60218439,California,49030,300000,48334,451.2931023
60218449,California,39830,27680,31561,506.6548907
60218459,California,59558,37744,56941,192.8281506
60218469,California,33334,30473,22843,288.7261514
60218479,California,41004,32873,32392,857.5958497
